7.57, 2, blue, Entry
7.60, 2, blue, Exit
7.60, 4, blue, Entry
7.80, 4, blue, Exit
7.80, 2, blue, Entry
7.83, 2, blue, Exit
7.83, 4, blue, Entry
7.87, 4, blue, Exit
7.87, 2, blue, Entry
7.90, 2, blue, Exit
7.90, 4, blue, Entry
7.97, 1, red, Exit
7.97, 4, red, Entry
8.00, 4, red, Exit
8.00, 1, red, Entry
8.07, 1, red, Exit
8.07, 2, red, Entry
8.13, 2, red, Exit
8.13, 1, red, Entry
8.17, 1, red, Exit
8.17, 2, red, Entry
8.20, 2, red, Exit
8.20, 1, red, Entry
8.27, 1, red, Exit
8.27, 3, red, Entry
8.33, 3, red, Exit
8.33, 2, red, Entry
8.37, 2, red, Exit
8.37, 1, red, Entry
8.40, 1, red, Exit
8.40, 3, red, Entry
8.47, 3, red, Exit
8.47, 2, red, Entry
8.53, 2, red, Exit
8.53, 1, red, Entry
8.57, 1, red, Exit
8.57, 2, red, Entry
8.60, 2, red, Exit
8.60, 1, red, Entry
8.63, 1, red, Exit
8.63, 2, red, Entry
8.77, 2, red, Exit
8.77, 1, red, Entry
8.80, 1, red, Exit
8.80, 2, red, Entry
8.83, 2, red, Exit
8.83, 1, red, Entry
8.87, 1, red, Exit
8.87, 2, red, Entry
8.90, 2, red, Exit
8.90, 1, red, Entry
8.93, 1, red, Exit
8.93, 2, red, Entry
9.10, 2, red, Exit
9.10, 1, red, Entry
9.17, 1, red, Exit
9.17, 4, red, Entry
9.17, 4, blue, Exit
9.17, 2, blue, Entry
9.20, 4, red, Exit
9.20, 2, red, Entry
9.23, 2, blue, Exit
9.23, 4, blue, Entry
9.33, 2, red, Exit
9.33, 1, red, Entry
10.03, 4, blue, Exit
10.03, 2, blue, Entry
10.10, 2, blue, Exit
10.10, 4, blue, Entry
10.27, 4, blue, Exit
10.27, 2, blue, Entry
10.30, 2, blue, Exit
10.30, 4, blue, Entry
10.73, 1, red, Exit
10.73, 3, red, Entry
10.77, 3, red, Exit
10.77, 1, red, Entry
10.93, 4, blue, Exit
10.93, 2, blue, Entry
10.97, 1, red, Exit
10.97, 3, red, Entry
11.00, 2, blue, Exit
11.00, 4, blue, Entry
11.03, 3, red, Exit
11.03, 1, red, Entry
11.03, 4, blue, Exit
11.03, 2, blue, Entry
11.07, 1, red, Exit
11.07, 4, red, Entry
11.13, 4, red, Exit
11.13, 1, red, Entry
11.13, 2, blue, Exit
11.13, 4, blue, Entry
11.17, 1, red, Exit
11.17, 4, red, Entry
11.20, 4, red, Exit
11.20, 1, red, Entry
11.20, 4, blue, Exit
11.20, 2, blue, Entry
11.23, 1, red, Exit
11.23, 3, red, Entry
11.27, 3, red, Exit
11.27, 1, red, Entry
11.30, 2, blue, Exit
11.30, 4, blue, Entry
11.33, 4, blue, Exit
11.33, 2, blue, Entry
11.37, 2, blue, Exit
11.37, 4, blue, Entry
11.40, 4, blue, Exit
11.40, 2, blue, Entry
11.43, 2, blue, Exit
11.43, 4, blue, Entry
11.67, 4, blue, Exit
11.67, 2, blue, Entry
11.87, 1, red, Exit
11.87, 3, red, Entry
11.90, 3, red, Exit
11.90, 1, red, Entry
11.90, 2, blue, Exit
11.90, 4, blue, Entry
11.97, 1, red, Exit
11.97, 4, red, Entry
11.97, 4, blue, Exit
11.97, 2, blue, Entry
12.00, 2, blue, Exit
12.00, 4, blue, Entry
12.20, 4, blue, Exit
12.20, 2, blue, Entry
12.37, 2, blue, Exit
12.37, 4, blue, Entry
12.53, 4, blue, Exit
12.53, 2, blue, Entry
12.57, 2, blue, Exit
12.57, 4, blue, Entry
12.70, 4, blue, Exit
12.70, 2, blue, Entry
12.83, 2, blue, Exit
12.83, 4, blue, Entry
12.97, 4, blue, Exit
12.97, 2, blue, Entry
13.10, 2, blue, Exit
13.10, 4, blue, Entry
13.17, 4, blue, Exit
13.17, 2, blue, Entry
13.27, 2, blue, Exit
13.27, 4, blue, Entry
13.30, 4, blue, Exit
13.30, 2, blue, Entry
13.33, 2, blue, Exit
13.33, 4, blue, Entry
13.70, 4, blue, Exit
13.70, 2, blue, Entry
13.83, 2, blue, Exit
13.83, 4, blue, Entry
14.00, 4, blue, Exit
14.00, 2, blue, Entry
14.20, 2, blue, Exit
14.20, 4, blue, Entry
14.87, 4, blue, Exit
14.87, 2, blue, Entry
15.27, 2, blue, Exit
15.27, 4, blue, Entry
15.80, 4, blue, Exit
15.80, 2, blue, Entry
15.83, 2, blue, Exit
15.83, 4, blue, Entry
18.13, 4, blue, Exit
18.13, 2, blue, Entry
18.17, 2, blue, Exit
18.17, 4, blue, Entry
20.50, 4, blue, Exit
20.50, 2, blue, Entry
20.53, 2, blue, Exit
20.53, 4, blue, Entry
20.57, 4, blue, Exit
20.57, 2, blue, Entry
20.63, 2, blue, Exit
20.63, 4, blue, Entry
21.20, 4, red, Exit
21.20, 2, red, Entry
21.23, 2, red, Exit
21.23, 1, red, Entry
21.27, 1, red, Exit
21.27, 2, red, Entry
21.30, 2, red, Exit
21.30, 1, red, Entry
21.70, 1, red, Exit
21.70, 2, red, Entry
21.73, 2, red, Exit
21.73, 1, red, Entry
21.77, 1, red, Exit
21.77, 2, red, Entry
21.90, 2, red, Exit
21.90, 1, red, Entry
21.93, 1, red, Exit
21.93, 2, red, Entry
22.00, 2, red, Exit
22.00, 3, red, Entry
22.07, 3, red, Exit
22.07, 2, red, Entry
22.10, 2, red, Exit
22.10, 1, red, Entry
22.13, 1, red, Exit
22.13, 2, red, Entry
22.23, 2, red, Exit
22.23, 3, red, Entry
22.30, 3, red, Exit
22.30, 2, red, Entry
22.33, 2, red, Exit
22.33, 4, red, Entry
22.37, 4, red, Exit
22.37, 1, red, Entry
22.40, 1, red, Exit
22.40, 2, red, Entry
22.43, 2, red, Exit
22.43, 3, red, Entry
22.53, 3, red, Exit
22.53, 1, red, Entry
22.57, 1, red, Exit
22.57, 3, red, Entry
22.60, 3, red, Exit
22.60, 1, red, Entry
22.67, 1, red, Exit
22.67, 3, red, Entry
22.77, 3, red, Exit
22.77, 4, red, Entry
22.80, 4, red, Exit
22.80, 2, red, Entry
22.83, 2, red, Exit
22.83, 1, red, Entry
22.93, 1, red, Exit
22.93, 3, red, Entry
22.97, 3, red, Exit
22.97, 1, red, Entry
23.17, 1, red, Exit
23.17, 3, red, Entry
23.20, 3, red, Exit
23.20, 4, red, Entry
23.27, 4, red, Exit
23.27, 1, red, Entry
23.30, 1, red, Exit
23.30, 4, red, Entry
23.47, 4, red, Exit
23.47, 1, red, Entry
23.77, 1, red, Exit
23.77, 4, red, Entry
23.80, 4, red, Exit
23.80, 1, red, Entry
23.83, 1, red, Exit
23.83, 2, red, Entry
23.87, 2, red, Exit
23.87, 1, red, Entry
24.00, 1, red, Exit
24.00, 2, red, Entry
24.00, 4, blue, Exit
24.00, 2, blue, Entry
24.07, 2, blue, Exit
24.07, 4, blue, Entry
24.13, 4, blue, Exit
24.13, 2, blue, Entry
24.17, 2, blue, Exit
24.17, 4, blue, Entry
24.57, 2, red, Exit
24.57, 4, red, Entry
24.60, 4, red, Exit
24.60, 2, red, Entry
24.67, 2, red, Exit
24.67, 4, red, Entry
24.70, 4, red, Exit
24.70, 3, red, Entry
24.77, 3, red, Exit
24.77, 1, red, Entry
24.87, 1, red, Exit
24.87, 2, red, Entry
24.90, 2, red, Exit
24.90, 3, red, Entry
24.93, 3, red, Exit
24.93, 1, red, Entry
24.97, 1, red, Exit
24.97, 3, red, Entry
25.00, 3, red, Exit
25.00, 1, red, Entry
25.40, 1, red, Exit
25.40, 2, red, Entry
25.47, 2, red, Exit
25.47, 1, red, Entry
26.00, 1, red, Exit
26.00, 3, red, Entry
26.07, 3, red, Exit
26.07, 1, red, Entry
26.27, 1, red, Exit
26.27, 3, red, Entry
26.30, 3, red, Exit
26.30, 4, red, Entry
26.57, 4, blue, Exit
26.57, 2, blue, Entry
26.60, 2, blue, Exit
26.60, 4, blue, Entry
26.63, 4, blue, Exit
26.63, 2, blue, Entry
26.67, 2, blue, Exit
26.67, 4, blue, Entry
26.80, 4, blue, Exit
26.80, 2, blue, Entry
26.90, 2, blue, Exit
26.90, 4, blue, Entry
27.20, 4, blue, Exit
27.20, 2, blue, Entry
27.23, 4, red, Exit
27.23, 3, red, Entry
27.23, 2, blue, Exit
27.23, 4, blue, Entry
27.33, 4, blue, Exit
27.33, 2, blue, Entry
27.37, 2, blue, Exit
27.37, 4, blue, Entry
27.40, 3, red, Exit
27.40, 4, red, Entry
27.40, 4, blue, Exit
27.40, 2, blue, Entry
27.43, 4, red, Exit
27.43, 3, red, Entry
27.50, 2, blue, Exit
27.50, 4, blue, Entry
27.67, 3, red, Exit
27.67, 4, red, Entry
27.70, 4, red, Exit
27.70, 3, red, Entry
27.73, 3, red, Exit
27.73, 4, red, Entry
30.40, 4, blue, Exit
30.40, 2, blue, Entry
30.43, 2, blue, Exit
30.43, 4, blue, Entry
30.90, 4, blue, Exit
30.90, 2, blue, Entry
30.93, 2, blue, Exit
30.93, 4, blue, Entry
30.97, 4, blue, Exit
30.97, 2, blue, Entry
31.03, 2, blue, Exit
31.03, 4, blue, Entry
31.07, 4, blue, Exit
31.07, 2, blue, Entry
31.10, 2, blue, Exit
31.10, 4, blue, Entry
31.17, 4, blue, Exit
31.17, 2, blue, Entry
31.20, 2, blue, Exit
31.20, 4, blue, Entry
31.33, 4, blue, Exit
31.33, 2, blue, Entry
31.70, 2, blue, Exit
31.70, 4, blue, Entry
31.73, 4, blue, Exit
31.73, 2, blue, Entry
32.00, 2, blue, Exit
32.00, 4, blue, Entry
32.43, 4, blue, Exit
32.43, 2, blue, Entry
32.47, 2, blue, Exit
32.47, 4, blue, Entry
32.97, 4, blue, Exit
32.97, 2, blue, Entry
33.00, 2, blue, Exit
33.00, 4, blue, Entry
35.00, 4, blue, Exit
35.00, 2, blue, Entry
35.10, 2, blue, Exit
35.10, 4, blue, Entry
35.13, 4, blue, Exit
35.13, 2, blue, Entry
35.17, 2, blue, Exit
35.17, 4, blue, Entry
35.27, 4, blue, Exit
35.27, 2, blue, Entry
35.70, 2, blue, Exit
35.70, 4, blue, Entry
35.83, 4, blue, Exit
35.83, 2, blue, Entry
35.93, 2, blue, Exit
35.93, 4, blue, Entry
36.10, 4, blue, Exit
36.10, 2, blue, Entry
36.30, 2, blue, Exit
36.30, 4, blue, Entry
36.33, 4, blue, Exit
36.33, 2, blue, Entry
36.40, 2, blue, Exit
36.40, 4, blue, Entry
36.47, 4, blue, Exit
36.47, 2, blue, Entry
36.53, 2, blue, Exit
36.53, 4, blue, Entry
36.70, 4, blue, Exit
36.70, 2, blue, Entry
36.83, 2, blue, Exit
36.83, 4, blue, Entry
37.80, 4, blue, Exit
37.80, 2, blue, Entry
37.83, 2, blue, Exit
37.83, 4, blue, Entry
38.23, 4, blue, Exit
38.23, 2, blue, Entry
38.27, 2, blue, Exit
38.27, 4, blue, Entry
38.30, 4, blue, Exit
38.30, 2, blue, Entry
38.33, 2, blue, Exit
38.33, 4, blue, Entry
38.40, 4, blue, Exit
38.40, 2, blue, Entry
38.53, 2, blue, Exit
38.53, 4, blue, Entry
39.27, 4, blue, Exit
39.27, 2, blue, Entry
39.40, 2, blue, Exit
39.40, 4, blue, Entry
40.03, 4, blue, Exit
40.03, 2, blue, Entry
40.07, 2, blue, Exit
40.07, 4, blue, Entry
40.90, 4, blue, Exit
40.90, 2, blue, Entry
41.13, 2, blue, Exit
41.13, 4, blue, Entry
41.37, 4, blue, Exit
41.37, 2, blue, Entry
41.43, 2, blue, Exit
41.43, 4, blue, Entry
41.57, 4, blue, Exit
41.57, 2, blue, Entry
41.60, 2, blue, Exit
41.60, 4, blue, Entry
41.70, 4, blue, Exit
41.70, 2, blue, Entry
42.07, 4, red, Exit
42.07, 1, red, Entry
42.17, 1, red, Exit
42.17, 3, red, Entry
42.20, 3, red, Exit
42.20, 1, red, Entry
42.30, 1, red, Exit
42.30, 3, red, Entry
42.33, 3, red, Exit
42.33, 1, red, Entry
42.87, 1, red, Exit
42.87, 3, red, Entry
42.90, 3, red, Exit
42.90, 1, red, Entry
42.93, 1, red, Exit
42.93, 3, red, Entry
43.00, 3, red, Exit
43.00, 4, red, Entry
43.03, 4, red, Exit
43.03, 2, red, Entry
43.07, 2, red, Exit
43.07, 1, red, Entry
43.10, 1, red, Exit
43.10, 4, red, Entry
43.10, 2, blue, Exit
43.10, 4, blue, Entry
43.13, 4, red, Exit
43.13, 1, red, Entry
43.13, 4, blue, Exit
43.13, 2, blue, Entry
43.17, 1, red, Exit
43.17, 3, red, Entry
43.20, 3, red, Exit
43.20, 1, red, Entry
43.40, 1, red, Exit
43.40, 2, red, Entry
